image#Cover.bmp: 24.287444353103638
image#Image (10).bmp: 23.79639720916748
image#Image (11).bmp: 23.7889461517334
image#Image (12).bmp: 24.18882179260254
image#Image (13).bmp: 23.706833362579346
image#Image (14).bmp: 23.793934106826782
image#Image (15).bmp: 24.004931926727295
image#Image (16).bmp: 24.261892318725586
image#Image (17).bmp: 24.204363584518433
image#Image (18).bmp: 23.761287212371826
image#Image (19).bmp: 24.038615942001343
image#Image (2).bmp: 24.231507539749146
image#Image (20).bmp: 24.262904167175293
image#Image (21).bmp: 23.99957013130188
image#Image (22).bmp: 24.220044374465942
image#Image (23).bmp: 23.616236448287964
image#Image (24).bmp: 24.09159278869629
image#Image (25).bmp: 23.630784034729004
image#Image (26).bmp: 24.119954586029053
image#Image (27).bmp: 23.84696912765503
image#Image (28).bmp: 24.72813391685486
image#Image (29).bmp: 24.303501844406128
image#Image (3).bmp: 23.79199194908142
image#Image (30).bmp: 25.867370128631592
image#Image (31).bmp: 24.321054935455322
image#Image (32).bmp: 23.83521008491516
image#Image (33).bmp: 24.034326791763306
image#Image (34).bmp: 24.047764778137207
image#Image (35).bmp: 24.06317687034607
image#Image (36).bmp: 24.492167711257935
image#Image (37).bmp: 24.324994564056396
image#Image (38).bmp: 24.97857928276062
image#Image (4).bmp: 23.400368452072144
image#Image (40).bmp: 23.933127641677856
image#Image (41).bmp: 25.07606816291809
image#Image (42).bmp: 24.207740783691406
image#Image (43).bmp: 23.92438244819641
image#Image (44).bmp: 23.924969911575317
image#Image (45).bmp: 23.659855127334595
image#Image (46).bmp: 24.420264959335327
image#Image (47).bmp: 24.533240795135498
image#Image (48).bmp: 24.098803997039795
image#Image (49).bmp: 23.647034883499146
image#Image (5).bmp: 23.865646600723267
image#Image (50).bmp: 24.018059968948364
image#Image (6).bmp: 23.693258047103882
image#Image (7).bmp: 24.254991054534912
image#Image (8).bmp: 24.197444677352905
image#Image (9).bmp: 24.13704204559326
image#Image.bmp: 23.799504280090332
