image#Cover-1.bmp: 24.810455799102783
image#Image (10).bmp: 24.669327974319458
image#Image (11).bmp: 24.43316340446472
image#Image (12).bmp: 24.278796672821045
image#Image (13).bmp: 24.439127922058105
image#Image (14).bmp: 24.482894897460938
image#Image (15).bmp: 24.598538160324097
image#Image (16).bmp: 24.10808300971985
image#Image (17).bmp: 24.39932656288147
image#Image (18).bmp: 24.616641521453857
image#Image (19).bmp: 24.712633848190308
image#Image (2).bmp: 24.436235904693604
image#Image (20).bmp: 24.49719524383545
image#Image (21).bmp: 24.578202486038208
image#Image (22).bmp: 25.131705284118652
image#Image (23).bmp: 24.167041778564453
image#Image (24).bmp: 24.375575304031372
image#Image (25).bmp: 24.875284671783447
image#Image (26).bmp: 25.498744249343872
image#Image (27).bmp: 24.126839637756348
image#Image (28).bmp: 24.700307846069336
image#Image (29).bmp: 24.970661401748657
image#Image (3).bmp: 24.955832719802856
image#Image (30).bmp: 24.00203514099121
image#Image (31).bmp: 24.300541162490845
image#Image (32).bmp: 25.127439498901367
image#Image (33).bmp: 24.630391359329224
image#Image (34).bmp: 25.112704038619995
image#Image (37).bmp: 24.408252477645874
image#Image (38).bmp: 24.89482069015503
image#Image (39).bmp: 24.31231117248535
image#Image (4).bmp: 24.20754075050354
image#Image (40).bmp: 24.521838903427124
image#Image (41).bmp: 24.00592064857483
image#Image (42).bmp: 24.613064765930176
image#Image (43).bmp: 25.6497585773468
image#Image (45).bmp: 25.011749267578125
image#Image (46).bmp: 24.999067068099976
image#Image (48).bmp: 25.049320936203003
image#Image (49).bmp: 24.76580309867859
image#Image (5).bmp: 24.405601978302002
image#Image (6).bmp: 24.397987365722656
image#Image (7).bmp: 24.384308576583862
image#Image (70).bmp: 24.71787142753601
image#Image (71).bmp: 24.67548179626465
image#Image (73).bmp: 24.65518856048584
image#Image (8).bmp: 25.01777172088623
image#Image (9).bmp: 24.431047439575195
image#Image.bmp: 24.803226947784424
