image#Cover.bmp: 24.70562171936035
image#Image (10).bmp: 24.2281813621521
image#Image (11).bmp: 25.00513243675232
image#Image (12).bmp: 24.59450602531433
image#Image (13).bmp: 24.415131092071533
image#Image (14).bmp: 24.630675554275513
image#Image (15).bmp: 24.752077341079712
image#Image (16).bmp: 25.115265607833862
image#Image (17).bmp: 24.492198944091797
image#Image (18).bmp: 24.24610209465027
image#Image (19).bmp: 25.142011165618896
image#Image (2).bmp: 24.322547912597656
image#Image (20).bmp: 24.49799919128418
image#Image (21).bmp: 24.592509984970093
image#Image (22).bmp: 24.45468258857727
image#Image (23).bmp: 24.727593421936035
image#Image (24).bmp: 24.344470500946045
image#Image (25).bmp: 24.42144775390625
image#Image (26).bmp: 24.598289489746094
image#Image (27).bmp: 25.436532735824585
image#Image (28).bmp: 24.699392080307007
image#Image (29).bmp: 24.419013023376465
image#Image (3).bmp: 25.096952438354492
image#Image (30).bmp: 24.73296546936035
image#Image (31).bmp: 24.42233681678772
image#Image (32).bmp: 24.77866506576538
image#Image (33).bmp: 24.38408660888672
image#Image (34).bmp: 24.562888145446777
image#Image (35).bmp: 24.602142333984375
image#Image (36).bmp: 24.433088541030884
image#Image (37).bmp: 24.190362691879272
image#Image (38).bmp: 24.56122398376465
image#Image (4).bmp: 24.722687244415283
image#Image (40).bmp: 24.6213219165802
image#Image (41).bmp: 24.52374792098999
image#Image (42).bmp: 24.70001792907715
image#Image (43).bmp: 24.67189645767212
image#Image (44).bmp: 24.320587158203125
image#Image (45).bmp: 24.535558223724365
image#Image (46).bmp: 24.486764907836914
image#Image (47).bmp: 25.33726668357849
image#Image (48).bmp: 24.44173240661621
image#Image (49).bmp: 24.547187089920044
image#Image (5).bmp: 24.34852933883667
image#Image (50).bmp: 24.788686275482178
image#Image (6).bmp: 25.2938871383667
image#Image (7).bmp: 24.451252222061157
image#Image (8).bmp: 24.631330013275146
image#Image (9).bmp: 24.10628581047058
image#Image.bmp: 24.361281156539917
