image#Cover-1.bmp: 24.5794837474823
image#Image (10).bmp: 24.6100652217865
image#Image (11).bmp: 24.601562976837158
image#Image (12).bmp: 23.97372817993164
image#Image (13).bmp: 24.775256633758545
image#Image (14).bmp: 24.588234901428223
image#Image (15).bmp: 25.20160937309265
image#Image (16).bmp: 24.202909469604492
image#Image (17).bmp: 24.225770950317383
image#Image (18).bmp: 24.305598258972168
image#Image (19).bmp: 24.36309790611267
image#Image (2).bmp: 24.330143213272095
image#Image (20).bmp: 24.626054048538208
image#Image (21).bmp: 24.40472412109375
image#Image (22).bmp: 24.084165334701538
image#Image (23).bmp: 24.206076622009277
image#Image (24).bmp: 24.88012456893921
image#Image (25).bmp: 24.501564502716064
image#Image (26).bmp: 25.32809615135193
image#Image (27).bmp: 24.205539226531982
image#Image (28).bmp: 24.61709237098694
image#Image (29).bmp: 24.560869693756104
image#Image (3).bmp: 24.999659776687622
image#Image (30).bmp: 24.131078958511353
image#Image (31).bmp: 24.305492401123047
image#Image (32).bmp: 24.75840473175049
image#Image (33).bmp: 24.323631286621094
image#Image (34).bmp: 24.477131843566895
image#Image (37).bmp: 24.76852774620056
image#Image (38).bmp: 24.494839429855347
image#Image (39).bmp: 24.144456386566162
image#Image (4).bmp: 24.071596384048462
image#Image (40).bmp: 24.241525411605835
image#Image (41).bmp: 24.427461624145508
image#Image (42).bmp: 24.540509462356567
image#Image (43).bmp: 24.235142707824707
image#Image (45).bmp: 24.47922134399414
image#Image (46).bmp: 24.321158170700073
image#Image (48).bmp: 24.21295690536499
image#Image (49).bmp: 24.549967288970947
image#Image (5).bmp: 24.513802528381348
image#Image (6).bmp: 24.11047601699829
image#Image (7).bmp: 24.342369556427002
image#Image (70).bmp: 24.33760929107666
image#Image (71).bmp: 25.39373469352722
image#Image (73).bmp: 24.246177911758423
image#Image (8).bmp: 24.12324595451355
image#Image (9).bmp: 24.100961208343506
image#Image.bmp: 24.4643132686615
